Site,AESC number,Name,Address,Local,Area,Emirates,Type,Coordinate,Email,Phone,"H/L, E/M, D",Insta,Talabat,Noon,ElGrocer,Store Size SqFt,Open Date,Pront Grab&Go,Price Zone,With Expo stand,Opening Hour,Approval 
85,AE2085,Al Barsha 1,"Shk Zd Rd, E11, Tecom Metro",Barsha Height,New Dubai,Dubai,Petrol Station,"25°06'00.2""N 55°10'19.3""E",eps00085@eppcouae.com,04 - 3473752,H/L,InstaZOOM,,,,"1,237.40",12-Jul-98,Pronto-Digital Menu,C-20/Z-1,No,,
89,AE2089,Meshrif,"Al Khawaneej Rd, D 89, Opp Arabian Center",Mirdiff,New Dubai,Dubai,Petrol Station,"25°13'57.3""N 55°26'07.8""E",eps00089@eppcouae.com,04 - 2882325,H/L,,,,,860.8,15-Mar-99,,C-20/Z-1,No,,
90,AE2090,Oil Field Supply,"Al Mankhool Rd, D 90, Wasl Real Estate",Mankhool,Old Dubai,Dubai,Petrol Station,"25°14'58.8""N 55°17'14.9""E",eps00090@eppcouae.com,04 - 3984957,H/L,,,,,807,10-Jun-90,,C-20/Z-1,No,,
91,AE2091,Oud Metha,"Oud Metha Rd, E 66, Opp Healthcare City",Oud Metha,Old Dubai,Dubai,Petrol Station,"25°13'54.8""N 55°18'58.7""E",eps00091@eppcouae.com,04 - 3359720,H/L,,,,,"1,398.80",19-Oct-88,,C-20/Z-1,No,,
93,AE2093,Al Bahar,"Jumeirah Rd, D 94, Opp Sunset Mall",Jumeirah 3,New Dubai,Dubai,Petrol Station,"25°10'59.8""N 55°13'37.6""E",eps00093@eppcouae.com,04 - 3940608,H/L,,,Noon,,516.48,19-Nov-88,,C-20/Z-1,No,24 Hour,
94,AE2094,Free Zone,"E 77, Jebel Ali Cricket Ground",Jebel Ali,Old Dubai,Dubai,Petrol Station,"25°00'42.7""N 55°05'41.3""E",eps00094@eppcouae.com,04 - 8816936,H/L,,,,,860.8,01-Dec-88,,C-20/Z-1,yes,,
100,AE2100,Al Hutoof,"Al Mankhool Rd, D 90",Mankhool,Old Dubai,Dubai,Petrol Station,"25°14'59.7""N 55°17'21.6""E",eps00100@eppcouae.com,04 - 3984781,H/L,,,,,"1,022.20",28-Jan-98,,C-20/Z-1,yes,,
1002,AE1002,Al Abraj,"308 Rd, Behind Towers Rotana Hotel",Trade Centre,New Dubai,Dubai,Petrol Station,"25°12'51.1""N 55°16'24.9""E",ens01002@eppcouae.com,04 - 3431194,H/L,,,,,"1,237.40",29-May-00,Pronto-Digital Menu,C-20/Z-1,No,,
1005,AE1005,Al Ramool,"11 Marakech St, New RTA Complex",Garhoud,Old Dubai,Dubai,Petrol Station,"25°14'00.3""N 55°21'25.3""E",ens01005@eppcouae.com,04 - 2822164,H/L,,,,,"1,237.40",25-Jun-09,Pronto-Digital Menu,C-20/Z-1,No,,
1006,AE1006,Al Marhaba,"Baghdad St, D 95, After Grand Service Station",Qusais 1,Old Dubai,Dubai,Petrol Station,"25°16'56.0""N 55°22'32.2""E",ens01006@eppcouae.com,04 - 2610157,H/L,InstaZOOM,,,,"1,237.40",18-Mar-10,,C-20/Z-1,yes,,
1007,AE1007,Hala,"Al Rebat St, D 83, Festival City",Festival City,New Dubai,Dubai,Petrol Station,"25°13'09.8""N 55°22'15.7""E",ens01007@eppcouae.com,04 - 2894214,H/L,,Talabat,,,"1,076.00",27-Jan-01,Pronto-Digital Menu,C-20/Z-1,No,,
1009,AE1009,Al Mudheef,"2 Dec St, D 73, Opp Shk Hamdan Award Complex",Al Bada'a,New Dubai,Dubai,Petrol Station,"25°14'20.8""N 55°16'16.2""E",ens01009@eppcouae.com,04 - 3453576,H/L,,,,,"1,237.40",14-Sep-00,,C-20/Z-1,No,,
1011,AE1011,Al Umda,"Al Wasl Rd, D 92, Umm Suqeim",Umm Al Sheif,New Dubai,Dubai,Petrol Station,"25°07'56.8""N 55°11'57.4""E",ens01011@eppcouae.com,04 - 3484351,H/L,,,,,"1,076.00",09-Jan-01,Pronto-Digital Menu,C-20/Z-1,No,,
1012,AE1012,Al Sajaya,"Manama Rd, D 67",Nad Al Sheba 3,Old Dubai,Dubai,Petrol Station,"25°09'49.6""N 55°22'53.6""E",ens01012@eppcouae.com,04 - 3201029,H/L,,,,,"1,614.00",31-Dec-05,,C-20/Z-1,yes,,
1013,AE1013,ENOC Retail,"Latifa Bint Hamdan St, D 67, Al Khail Mall",Al Quoz 4,Old Dubai,Dubai,Petrol Station,"25°09'01.2""N 55°14'39.4""E",ens01013@eppcouae.com,04 - 3396567,H/L,,,,,"1,721.60",10-Aug-11,,C-20/Z-1,yes,,
1014,AE1014,ENOC Retail,"Tunis Rd, D 93, Al Mizhar",Mizhar 1,Old Dubai,Dubai,Petrol Station,"25°15'27.8""N 55°26'29.7""E",ens01014@eppcouae.com,04 - 2839570,H/L,,,,,"1,721.60",07-Dec-10,Pronto-Digital Menu,C-20/Z-1,yes,,
1019,AE1019,Al Badaa,"Al Safa St, D 71, Al Wasl - Satwa",Satwa,New Dubai,Dubai,Petrol Station,"25°12'40.9""N 55°15'34.3""E",ens01019@eppcouae.com,04 - 3422173,H/L,,,,,"1,076.00",01-Mar-03,,C-20/Z-1,No,,
1020,AE1020,Oud Al Muteena,"22nd Road, Oud Al Muteena 2",Oud Al Muteena 2,Old Dubai,Dubai,Petrol Station,"25°15'33.0""N 55°28'11.4""E",ens01020@eppcouae.com,04 - 2851510,H/L,,,,,"1,614.00",21-Jul-18,Pronto-Digital Menu,C-20/Z-1,No,,
1021,AE1021,Barsha First,"D86, 1st Al Khail Street, Al Barsha 1",Al Barsha 1,New Dubai,Dubai,Petrol Station,"25°06'24.1""N 55°12'07.9""E",ens01021@eppcouae.com,04 - 4228720,H/L,InstaZOOM,Talabat,,,"1,614.00",27-Jun-18,Pronto-Digital Menu,C-20/Z-1,No,,
1022,AE1022,ENOC Retail,"Shk Mohd Bin Zd Rd, E 311, Silicon Oasis",Silicon Oasis,Old Dubai,Dubai,Petrol Station,"25°07'59.5""N 55°22'48.7""E",ens01022@eppcouae.com,04 - 3265868,H/L,,,Noon,,"1,614.00",12-Apr-09,,C-20/Z-1,No,24 Hour,
1023,AE1023,ENOC Retail,"Al Qudra Road, D63",Al Qudra Road,New Dubai,Dubai,Petrol Station,"24°58'50.6""N 55°19'52.9""E",ens01023@eppcouae.com,04 - 2380818,H/L,,,,,"1,614.00",28-Apr-20,Pronto-Digital Menu,C-20/Z-1,No,,
1025,AE1025,Jebel Ali Gardens,"Gardens 1, IBN Battuta",Gardens,New Dubai,Dubai,Petrol Station,"25°02'23.1""N 55°06'55.7""E",ens01025@eppcouae.com,04 - 8823428,H/L,InstaZOOM,,,,"1,614.00",26-Aug-03,Pronto-Digital Menu,C-20/Z-1,No,,
1029,AE1029,Enoc Retail Site 1029,"Al Asayel Street, Discovery Garden",Discovery Garden,New Dubai,Dubai,Petrol Station,"25°02'19.5""N 55°08'46.6""E",ens01029@eppcouae.com,04 - 8747527,H/L,InstaZOOM,,,,"1,291.67",29-Apr-18,Pronto-Digital Menu,C-20/Z-1,No,,
1032,AE1032,ENOC,"Shk Mohd Bin Zd Rd, E 311, after Repton School",Nad Al Sheba 4,Old Dubai,Dubai,Petrol Station,"25°08'02.9""N 55°22'41.6""E",ens01032@eppcouae.com,04 - 3361379,H/L,,,,,"1,614.00",05-Feb-09,,C-20/Z-1,No,,
1033,AE1033,ENOC,"Hessa St, D 61, Al Barsha South",Jumeirah Village Circle,New Dubai,Dubai,Petrol Station,"25°03'57.8""N 55°13'06.0""E",ens01033@eppcouae.com,04 - 2424095,H/L,,Talabat,,,"1,614.00",25-Jun-17,Pronto-Digital Menu,C-20/Z-1,No,,
1034,AE1034,Nad Al Hammar,"Al Rebat St, D 93, Opp Bel Ramaitha Club",Rashidiya,Old Dubai,Dubai,Petrol Station,"25°12'55.5""N 55°22'46.4""E",ens01034@eppcouae.com,04 - 2853685,H/L,,,,,"1,076.00",13-May-03,,C-20/Z-1,No,,
1035,AE1035,Al Manara,"Jumeirah Rd, D 94, Jumeirah 3",Umm Suqeim 1,New Dubai,Dubai,Petrol Station,"25°10'10.1""N 55°12'54.5""E",ens01035@eppcouae.com,04 - 3945425,H/L,InstaZOOM,,,,"1,076.00",26-Jun-03,,C-20/Z-1,No,,
1036,AE1036,Al Yamamh,"Shk Mohd Bin Zd Rd, E 311 (Nad Al Hamar Side)",Nad Al Hamar Side,Old Dubai,Dubai,Petrol Station,"25°11'49.4""N 55°23'44.4""E",ens01036@eppcouae.com,04 - 2801015,H/L,InstaZOOM,,,,"1,721.60",08-Oct-03,Pronto-Digital Menu,C-20/Z-1,No,,
1039,AE1039,ENOC Emirates Road Dubai,"Shk Mohd Bin Zd Rd, E 311, Int Media Production Zone",Dubai Productin City,New Dubai,Dubai,Petrol Station,"25°02'18.1""N 55°11'08.6""E",ens01039@eppcouae.com,04 - 8856465,H/L,InstaZOOM,,,,"1,721.60",24-Apr-12,,C-20/Z-1,No,,
1040,AE1040,Al Lootah,"Al Itihad Rd, E 11, Opp Dubai Airport",Al Khabaisi,Old Dubai,Dubai,Petrol Station,"25°16'18.2""N 55°20'39.2""E",ens01040@eppcouae.com,04 - 2974689,H/L,,,,,"1,237.40",30-May-03,,C-20/Z-1,No,,
1041,AE1041,Al Barsha 3,"Umm Suqeim Rd, D 63, Al Quoz",Al Quoz Industrial 4,Old Dubai,Dubai,Petrol Station,"25°06'23.4""N 55°13'39.2""E",ens01041@eppcouae.com,04 - 3403583,H/L,,,,,"1,076.00",01-Mar-03,,C-20/Z-1,No,,
1042,AE1042,Faris Mwaded Mohd Helal Al Marzouei,Dubai Investment Park,Dubai Investment Park 2,New Dubai,Dubai,Petrol Station,"24°58'54.2""N 55°11'12.6""E",ens01042@eppcouae.com,04 - 8856637,H/L,,,,,"1,452.60",02-Aug-05,Pronto-Digital Menu,C-20/Z-1,No,,
1044,AE1044,ENOC Retail Site 1044 - Rebuild site 46,Oud Metha,Oud Metha,Old Dubai,Dubai,Petrol Station,"25°13'56.3""N 55°18'41.1""E",ens01044@eppcouae.com,04 - 3573739,H/L,InstaZOOM,,,,"1,614.00",30-Aug-17,Pronto-Digital Menu,C-20/Z-1,No,,
1049,AE1049,Al Ghusais,"204 Rd, Al Nahda 2, Zulekha Hospital","Nahda, Dubai",Old Dubai,Dubai,Petrol Station,"25°17'32.5""N 55°23'06.9""E",ens01049@eppcouae.com,04 - 2583140,H/L,,,,,"1,614.00",30-Jun-03,,C-20/Z-1,yes,,
1050,AE1050,Al Hashimi,"Amman St, D 97, Al Nahda 1","Nahda, Dubai",Old Dubai,Dubai,Petrol Station,"25°17'39.3""N 55°22'15.2""E",ens01050@eppcouae.com,04 - 2987062,H/L,,,,,"1,614.00",23-Sep-03,,C-20/Z-1,yes,,
1052,AE1052,Al Marabaa,"Shk Mohd Bin Zd Rd, E 311, Arabian Ranches",Arabian Ranches,New Dubai,Dubai,Petrol Station,"25°03'33.2""N 55°17'08.6""E",ens01052@eppcouae.com,04 - 3413573,H/L,InstaZOOM,,,,"1,614.00",04-Feb-07,Pronto-Digital Menu,C-20/Z-1,No,,
1055,AE1055,Al Marabe,"Shk Mohd Bin Zd Rd, E 311, (JVT Side)",Jumeirah Village Triangle,New Dubai,Dubai,Petrol Station,"25°02'18.3""N 55°10'53.2""E",ens01055@eppcouae.com,04 - 8858768,H/L,,,,,"1,614.00",22-Apr-04,Pronto-Digital Menu,C-20/Z-1,No,,
1056,AE1056,Al Taraef,"E 77, Jebel Ali",Jebel Ali,New Dubai,Dubai,Petrol Station,"25°01'00.1""N 55°08'47.4""E",ens01056@eppcouae.com,04 - 8856329,H/L,,,,,"1,614.00",08-Jun-04,,C-20/Z-1,yes,,
1060,AE1060,SZR Internet City,"Shk Zd Rd, E11, Dubai Internet City",Dubai Internet City,New Dubai,Dubai,Petrol Station,"25°05'49.3""N 55°09'56.1""E",ens01060@eppcouae.com,04 - 3940551,H/L,InstaZOOM,Talabat,,,"1,614.00",02-Apr-17,Pronto-Digital Menu,C-20/Z-1,No,,
1061,AE1061,Al Tariq Al Albir,"Shk Mohd Bin Zd Rd, E 311 (Warqa Side)",Warqa 1,New Dubai,Dubai,Petrol Station,"25°11'51.7""N 55°23'51.5""E",ens01061@eppcouae.com,04 - 2801064,H/L,,,,,"1,614.00",08-Mar-05,Pronto-Digital Menu,C-20/Z-1,No,,
1062,AE1062,ENOC Al Maktoom Airport Road,Dubai World Central Peripheral Road,Dubai South,New Dubai,Dubai,Petrol Station,"24°53'17.6""N 55°06'16.1""E",ens01062@eppcouae.com,04 - 8867075,H/L,,,,,"2,700.76",24-Jul-14,Pronto-Digital Menu,C-20/Z-1,No,,
1066,AE1066,Mirdif,"Tripoli St, D 83, Ghoroob Community, Mirdiff",Mirdiff,New Dubai,Dubai,Petrol Station,"25°12'39.6""N 55°24'57.8""E",ens01066@eppcouae.com,04 - 2884080,H/L,,,Noon,,"1,614.00",02-Sep-07,Pronto-Digital Menu,C-20/Z-1,No,24 Hour,
1067,AE1067,Nad Al Sheeba Third,"D62, Nad Al Sheeba Road, Nad Al Sheeba 3",Nad Al Sheba 3,Old Dubai,Dubai,Petrol Station,"25°09'31.6""N 55°21'49.7""E",ens01067@eppcouae.com,04 - 5896926,H/L,,,,,"1,614.00",29-Dec-18,Pronto-Digital Menu,C-20/Z-1,No,,
1072,AE1072,Al Barsha South,"Barsha South, Umm Suqeim Street",Barsha South,New Dubai,Dubai,Petrol Station,"25°05'30.8""N 55°14'37.4""E",ens01072@eppcouae.com,04 - 2424015,H/L,InstaZOOM,Talabat,,,"1,614.00",25-May-17,Pronto-Digital Menu,C-20/Z-1,No,,
1073,AE1073,ENOC,"Oud Metha Rd, E 66, JW Mariott Hotel",Jaddaf,Old Dubai,Dubai,Petrol Station,"25°12'48.2""N 55°18'53.8""E",ens01073@eppcouae.com,04 - 3243914,H/L,InstaZOOM,,,,"1,614.00",07-Jul-09,Pronto-Digital Menu,C-20/Z-1,No,,
1074,AE1074,Al Khail,"Al Khail Rd, E 44, Al Quoz 2",Al Quoz 2,Old Dubai,Dubai,Petrol Station,"25°09'10.9""N 55°15'44.6""E",ens01074@eppcouae.com,04 - 3385483,H/L,,Talabat,,,"1,614.00",11-Nov-06,Pronto-Digital Menu,C-20/Z-1,No,,
1075,AE1075,Al Lassa'a,"Al Khail Rd, E 44, Al Quoz 4",Al Quoz 4,Old Dubai,Dubai,Petrol Station,"25°09'09.9""N 55°15'37.6""E",ens01075@eppcouae.com,04 - 3386920,H/L,,,,,"1,614.00",08-May-07,Pronto-Digital Menu,C-20/Z-1,No,,
1076,AE1076,Dubai Hills,Emaar Dubai Hills,Emaar Dubai Hills,New Dubai,Dubai,Petrol Station,"25°05'23.8""N 55°15'07.3""E",ens01076@eppcouae.com,04 – 2504042,H/L,,Talabat,,,"1,614.00",28-Nov-19,Pronto-Digital Menu,C-20/Z-1,No,,
1077,AE1077,Al Barsha South Fourth (JV),"Jumeirah Village Circle, District 11",JVC,New Dubai,Dubai,Petrol Station,"25°03'45.5""N 55°12'16.0""E",ens01077@eppcouae.com,04 - 8768706,H/L,,Talabat,,,"1,614.00",13-Feb-19,Pronto-Digital Menu,C-20/Z-1,No,,
1079,AE1079,ENOC Site 1079 at Al Khail Road,"Al Khail Rd, E 44, Al Barsha South",Barsha South,New Dubai,Dubai,Petrol Station,"25°04'51.6""N 55°12'57.4""E",ens01079@eppcouae.com,04 - 3237249,H/L,InstaZOOM,Talabat,,,"1,721.60",03-Aug-11,,C-20/Z-1,No,,
1080,AE1080,Al Mayehab,"Hessa St, D 61, Al Barsha ID Center",Barsha 3,New Dubai,Dubai,Petrol Station,"25°05'33.3""N 55°11'10.7""E",ens01080@eppcouae.com,04 - 3405250,H/L,,,,,"1,614.00",24-Jun-07,Pronto-Digital Menu,C-20/Z-1,No,,
1085,AE1085,Nad Al Shiba,"E311, City of Arabia",City of Arabia,New Dubai,Dubai,Petrol Station,"25°04'54.3""N 55°19'53.7""E",ens01085@eppcouae.com,04 - 3230404,H/L,,,,,"1,614.00",30-Jul-18,Pronto-Digital Menu,C-20/Z-1,No,,
1086,AE1086,ENOC Site at Emirates Hills,"1 Rd, Meadows, Opp Emirates Int School",Meadows 2,New Dubai,Dubai,Petrol Station,"25°03'53.1""N 55°09'16.8""E",ens01086@eppcouae.com,04 - 3686076,H/L,InstaZOOM,Talabat,,,"1,721.60",28-Oct-11,Pronto-Digital Menu,C-20/Z-1,No,,
1088,AE1088,ENOC,"Oud Metha Rd, E 66, Opp Al Wasl Club",Zabeel 1,Old Dubai,Dubai,Petrol Station,"25°13'09.9""N 55°18'49.5""E",ens01088@eppcouae.com,04 - 3350920,H/L,InstaZOOM,Talabat,,,"1,721.60",25-May-08,Pronto-Digital Menu,C-20/Z-1,No,,
1094,AE1094,ENOC Retail,Wadi Al Safa,Wadi Al Safa,New Dubai,Dubai,Petrol Station,"25°03'51.1""N 55°18'49.1""E",ens01094@eppcouae.com,04 - 5808530,H/L,,,,,"1,614.00",08-Nov-18,Pronto-Digital Menu,C-20/Z-1,No,,
1096,AE1096,JAFZA,"D 55, Jebel Ali, Junc 13 - Interchange 9",Jebel Ali,Old Dubai,Dubai,Petrol Station,"24°58'06.2""N 55°04'40.4""E",ens01096@eppcouae.com,04 - 8830091,H/L,,,,,"1,614.00",27-Oct-03,,C-20/Z-1,No,,
1097,AE1097,Dubai Academic City,"Academic City, D54, Sheikh Zayed Bin Hamdan Al Nahyan Street",Academic City,New Dubai,Dubai,Petrol Station,"25°07'44.0""N 55°24'54.7""E",ens01097@eppcouae.com,04 - 4428523,H/L,,Talabat,,,"1,614.00",26-Oct-16,Pronto-Digital Menu,C-20/Z-1,No,,
1099,AE1099,Al Barsha 2,"Umm Suqeim Rd, D 63, Lulu, Barsha",Al Barsha 1,New Dubai,Dubai,Petrol Station,"25°07'05.1""N 55°12'29.3""E",ens01099@eppcouae.com,04 - 3415613,H/L,InstaZOOM,,Noon,,"1,614.00",10-Jul-07,Pronto-Digital Menu,C-20/Z-1,No,24 Hour,
1101,AE1101,ENOC Retail,"S311, Al Ithihad Road",Al Taawun,Al Khan,Sharjah,Petrol Station,"25°18'40.2""N 55°22'42.6""E",ens01101@eppcouae.com,06 - 5377234/ 06 - 5374834,H/L,,,,,"1,614.00",06-Jan-20,Pronto-Digital Menu,C-20/Z-11,#N/A,24 Hour,
1116,AE1116,Abdul Rahman Al Jarwan,Al Wahda Street,Yarmook,Yarmook,Sharjah,Petrol Station,"25°20'57.1""N 55°24'30.2""E",ens01116@eppcouae.com,06 - 5285299,H/L,,,,,704.49,23-Sep-19,,C-20/Z-11,#N/A,24 Hour,
5588,AE5588,ZOOM Market - Marina Rove Hotel,Rove Marina,Dubai Marina,New Dubai,Dubai,Standalone-Rove,"25°04'10.4""N 55°07'42.0""E",zom05588@eppcouae.com,04 - 8747298,H/L,InstaShop - Last Mile,Talabat,,,215,16-Apr-18,Pronto-Digital Menu,C-35/Z-4,No,24 Hour,Extra
5594,AE5594,ZOOM Market - Jewel Tower,Knowledge Village,Knowledge Village,New Dubai,Dubai,Standalone,"25°06'08.6""N 55°10'16.6""E",zom05594@eppcouae.com,04 - 3681430,H/L,InstaShop - Last Mile,Talabat,,El Grocer,"3,379.87",13-Nov-17,Pronto-Digital Menu,C-35/Z-2,No,7:00am-11:00pm,Extra
6511,AE5511,ZOOM Standalone - SZR,Shk Zayed Road E 11,Trade Centre,New Dubai,Dubai,Standalone,"25°13'21.9""N 55°16'55.8""E",zom06511@eppcouae.com,04 - 3275363,H/L,InstaShop - Last Mile,Talabat,,El Grocer,"3,002.04",15-Dec-11,Grab&Go,C-35/Z-2,No,24 Hour,Extra
6519,AE2994,EPPCO (Shop Rented At Dealer Site 49),"Al-Ain Dubai Rd, E 66",Silicon Oasis,New Dubai,Dubai,Petrol Station,"25°06'34.2""N 55°22'29.8""E",eps06519@eppcouae.com,050 - 4529852,H/L,,,,,376.6,23-Nov-11,,C-20/Z-1,No,,Extra
6524,AE5524,ZOOM Standalone - Dorra Bay,"Dorra Bay, Al Sufouh Rd, Dubai Marina",Dubai Marina,New Dubai,Dubai,Standalone,"25°04'17.3""N 55°07'43.5""E",zom06524@eppcouae.com,04 - 3792829,H/L,InstaShop - Last Mile,Talabat,,El Grocer,"3,507.76",16-Aug-13,Grab&Go,C-35/Z-2,No,7:00am-11:00pm,Extra
6525,AE5525,ZOOM Standalone - Green Lake - S Cluster - JLT,"S Cluster, JLT",Jumeirah Lake Towers,New Dubai,Dubai,Standalone,"25°04'42.6""N 55°08'55.3""E",zom06525@eppcouae.com,04 - 4258125,H/L,InstaShop - Last Mile,Talabat,,,"4,045.76",08-May-14,Grab&Go,C-35/Z-2,No,7:00am-11:00pm,Extra
6532,AE5532,ZOOM Standalone - Y Cluster - JLT,"Jumeriah Business Center-3, JLT",Jumeirah Lake Towers,New Dubai,Dubai,Standalone,"25°04'41.5""N 55°09'13.6""E",zom06532@eppcouae.com,04 - 3607839,H/L,InstaShop - Last Mile,Talabat,,El Grocer,"2,894.44",03-Mar-14,Grab&Go,C-35/Z-2,No,7:00am-11:00pm,Extra
6534,AE5534,ZOOM Standalone - Blue Bay Tower - Business Bay,"BBT, Business Bay",Business Bay,New Dubai,Dubai,Standalone,"25°11'15.3""N 55°16'15.7""E",zom06534@eppcouae.com,04 - 2766797,H/L,InstaShop - Last Mile,Talabat,Noon,,"2,421.00",01-Sep-14,Grab&Go,C-35/Z-2,No,24 Hour,Extra
6535,AE5535,ZOOM Standalone - Latifa Tower - SZR,"Latifa Tower, SZR",Trade Centre,New Dubai,Dubai,Standalone,"25°13'19.6""N 55°16'53.6""E",zom06535@eppcouae.com,04 - 3259719,H/L,InstaShop - Last Mile,Talabat,Noon,,"2,915.96",23-Jul-14,Grab&Go,C-35/Z-2,No,24 Hour,Extra
6548,AE5548,ZOOM Standalone - F Cluster - JLT,"F Cluster, JLT",Jumeirah Lake Towers,New Dubai,Dubai,Standalone,"25°04'19.9""N 55°08'34.3""E",zom06548@eppcouae.com,04 - 5531042,H/L,InstaShop - Last Mile,Talabat,,El Grocer,"4,605.28",13-Jan-15,Grab&Go,C-35/Z-2,No,7:00am-11:00pm,Extra
6549,AE5549,ZOOM Standalone - D Cluster - JLT,"D Cluster, JLT",Jumeirah Lake Towers,New Dubai,Dubai,Standalone,"25°04'11.7""N 55°08'25.8""E",zom06549@eppcouae.com,04 - 5519562,H/L,InstaShop - Last Mile,Talabat,Noon,,"6,036.36",22-Apr-15,Grab&Go,C-35/Z-2,No,24 Hour,Extra
6552,AE5552,ZOOM Standalone W Cluster - JLT,"W Cluster, JLT",Jumeirah Lake Towers,New Dubai,Dubai,Standalone,"25°04'37.4""N 55°08'57.6""E",zom06552@eppcouae.com,04 - 5519437,H/L,InstaShop - Last Mile,Talabat,,,"2,216.56",01-Nov-15,Grab&Go,C-35/Z-2,No,7:00am-11:00pm,Extra
