Domain,Location on Site,Tech Spend USD,Sales Revenue USD,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,TikTok,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,Exclusion,Compliance
chicagotribune.com,chicagotribune.com,$10000,,Chicago Tribune,Sports,402,332,313,15025,ph:+1-312-222-5934;+1-847-755-8913;+1-312-526-3116;+1-773-661-2468;+1-312-595-7437;+1-773-278-6600;+1-815-356-9212;+61-4-46021318;+1-800-251-2714;+1-773-782-0450,chicagomobile@chicagotribune.com;readerhelp@chicagotribune.com;ctc-tribletter@chicagotribune.com;jwoelffer@chicagotribune.com;shaimurphy@chicagotribune.com;mcrepeau@chicagotribune.com;tips@chicagotribune.com;jmeisner@chicagotribune.com;jgorner@chicagotribune.com;hdardick@chicagotribune.com;sports@chicagotribune.com;nmetz@chicagotribune.com;mwisniewski@chicagotribune.com;consumerservices@chicagotribune.com;pdnewsletters@chicagotribune.com;thingstodo@chicagotribune.com;commentary@chicagotribune.com;editor@chicagotribune.com;cwolfram@chicagotribune.com;pkendall@chicagotribune.com;jmccormick@chicagotribune.com;kmcqueary@chicagotribune.com;business@chicagotribune.com;ct-arts@chicagotribune.com;sunday@chicagotribune.com;businessnews@chicagotribune.com;chicagoland@chicagotribune.com,https://twitter.com/chicagotribune,https://facebook.com/chicagotribune,,,https://pinterest.com/chicagotribune,,https://instagram.com/chicagotribune,,,https://youtube.com/user/chicagotribune,,N/A - Other - n/a@chicagotribune.com; N/A - President - n/a@chicagotribune.com,BARRIO PAMPA CHICA,B,6600,AR,10-10-2016,19-06-2022,14-08-2000,19-06-2022,-,-
chron.com,chron.com,$5000,,Houston Chronicle Co,Technology And Computing,1758,1771,537,11121,ph:+1-713-362-7171;+1-713-362-7211;+1-212-649-2020;+1-713-362-3131;+1-877-833-7397;+1-800-728-8391;+1-800-778-7879;+1-916-445-1254;+1-800-952-5210;+1-281-378-1000,readerrep@chron.com;viewpoints@chron.com;permissions@chron.com;help@chron.com;privacy@chron.com;dale.lezon@chron.com;molly.glentzer@chron.com;max.kranl@chron.com;anna.gallegos@chron.com;jeffrey.martin@chron.com;brian.mctaggart@chron.com;hillary.sorin@chron.com;jana.kasperka@chron.com;regina.garciacano@chron.com;mike.morris@chron.com;bernardo.fallas@chron.com;caroline.ward@chron.com;liz.peterson@chron.com;alex.yap@chron.com;sylvia.wood@chron.com;feedback@chron.com,https://twitter.com/chron,https://facebook.com/chroncom,https://linkedin.com/company/houston-chronicle,,https://pinterest.com/houstonchron,,https://instagram.com/houstonchron,,,,,,Houston,TX,77210,US,11-12-2017,19-06-2022,29-02-2000,19-06-2022,-,-
cinemablend.com,cinemablend.com,$2000,,Cinema Blend LLC,Art And Entertainment,1383,8876,3105,21440,ph:,screening@cinemablend.com;josh@cinemablend.com;mack@cinemablend.com;katey@cinemablend.com;mackrawden@cinemablend.com;william@cinemablend.com;eric@cinemablend.com;matt@cinemablend.com,https://twitter.com/cinemablend,https://facebook.com/cinemablendcom,,,https://pinterest.com/cinemablend,,https://instagram.com/cinemablend,,,https://youtube.com/user/cinemablendhd,,N/A - Marketing - n/a@cinemablend.com; N/A - Sales - n/a@cinemablend.com; N/A - Director - n/a@cinemablend.com; N/A - Manager - n/a@cinemablend.com; N/A - President - n/a@cinemablend.com; N/A - Csuite - n/a@cinemablend.com; N/A - Founder - n/a@cinemablend.com,St. Louis,MO,63105,US,20-03-2016,14-06-2022,16-10-2004,18-06-2022,-,-
clickfunnels.com,clickfunnels.com,$10000,$3593357,clickfunnels,Business And Industrial,997,1864,2141,7177,ph:+1-760-995-6282;+1-800-778-7879,support@clickfunnels.com;compliance@clickfunnels.com;abuse@clickfunnels.com;affiliates@clickfunnels.com,https://twitter.com/clickfunnels,https://facebook.com/clickfunnels,https://linkedin.com/company/clickfunnels,,,,https://instagram.com/clickfunnelshq,,,,,N/A - Unknown - n/a@clickfunnels.com,Eagle,ID,83616,US,05-05-2017,13-06-2022,19-12-2013,19-06-2022,-,California CCPA
clutchpoints.com,clutchpoints.com,$1000,,ClutchPoints,Sports,439,13657,17528,22159,ph:,,https://twitter.com/clutchpointsapp,https://facebook.com/clutchpoints,https://linkedin.com/company/clutchpoints,,,,https://instagram.com/clutchpoints,,,,https://tiktok.com/@clutchpoints,N/A - Director - noemail,Los Angeles,CA,90095,US,14-08-2017,08-06-2022,10-11-2015,17-06-2022,-,California CCPA
cnbc.com,cnbc.com,$5000,,cnbc Inc,Art And Entertainment,27,114,120,2869,ph:+1-916-445-1254;+1-800-952-5210;+1-877-280-4548,customercare@support.cnbc.com;customercare@cnbc.com,https://twitter.com/cnbci,https://facebook.com/cnbcmakeit,,,,,,,,https://youtube.com/user/cnbcinternational,,N/A - Bizdev - n/a@cnbc.com; N/A - Other - n/a@cnbc.com; N/A - Director - n/a@cnbc.com; N/A - President - n/a@cnbc.com; N/A - Csuite - n/a@cnbc.com,Englewood Cliffs,NJ,7632,US,04-03-2015,19-06-2022,17-01-2001,19-06-2022,-,California CCPA
consumercellular.com,consumercellular.com,$5000,,Consumer Cellular Inc,Technology And Computing,4336,48029,117165,97789,ph:,,https://twitter.com/consumer_cell,https://facebook.com/consumercellular,,,https://pinterest.com/consumercellular,,https://instagram.com/consumer_cellular,,,https://youtube.com/user/consumercellular,,N/A - Csuite - noemail,Portland,OR,97223,US,28-02-2018,21-03-2022,10-11-2010,19-06-2022,-,-
cracked.com,cracked.com,$1000,,Demand Media Inc,Art And Entertainment,673,2568,2428,26379,ph:+1-425-298-2780;+1-310-828-6531;+1-800-952-5210;+1-360-474-3324,webeditor@cracked.com;xxxxx@cracked.com,https://twitter.com/cracked,https://facebook.com/cracked,,,https://pinterest.com/cracked,,https://instagram.com/cracked,,,https://youtube.com/user/cracked,,N/A - Other - n/a@cracked.com; N/A - Director - n/a@cracked.com; N/A - Manager - n/a@cracked.com; N/A - Csuite - n/a@cracked.com,Kirkland,WA,98033,US,18-08-2013,03-01-2022,28-11-2001,19-06-2022,-,-
creditsesame.com,creditsesame.com,$2000,,Credit Sesame Inc,Finance,1144,21871,35848,32981,ph:,partnerships@creditsesame.com;help@creditsesame.com;info@creditsesame.com;privacy@creditsesame.com;security@creditsesame.com;support@creditsesame.com;feedback@creditsesame.com;affiliates@creditsesame.com,https://twitter.com/creditsesame,https://facebook.com/creditsesame,,,,,https://instagram.com/creditsesame,,,https://youtube.com/user/creditsesame,,N/A - Engineering - n/a@creditsesame.com; N/A - Marketing - n/a@creditsesame.com; N/A - Director - n/a@creditsesame.com; N/A - President - n/a@creditsesame.com; N/A - Csuite - n/a@creditsesame.com; N/A - Founder - n/a@creditsesame.com; N/A - Other - n/a@creditsesame.com,Mountain View,CA,94041,US,23-05-2016,17-05-2022,06-02-2010,18-06-2022,-,California CCPA
kiwireport.com,kiwireport.com,$500,,KiwiReport,Business And Industrial,567,398972,333810,Outside Top 1m,ph:,info@kiwireport.com,https://twitter.com/kiwireportfeed,https://facebook.com/followkiwireport,,,,,,,,,,,,,,,27-12-2016,16-05-2022,02-03-2001,14-06-2022,-,-
nbcsports.com,nbcsports.com,$10000,,NBC Sports,Sports,170,2367,1712,5924,ph:+1-916-445-1254;+1-800-952-5210;+1-904-407-8923;+1-877-675-6323,support@nbcsports.com,https://twitter.com/nbcsports,https://facebook.com/nbcsports,,,,,https://instagram.com/nbcsports,,,,,N/A - Designer - n/a@nbcsports.com; N/A - Bizdev - n/a@nbcsports.com; N/A - Director - n/a@nbcsports.com,Stamford,CT,6901,US,17-05-2018,19-06-2022,30-09-2007,19-06-2022,-,California CCPA
ndtv.com,ndtv.com,$2000,,NDTV,Technology And Computing,1054,2722,804,4068,ph:,feedback@ndtv.com,https://twitter.com/ndtvfood,https://facebook.com/ndtvfood,,,https://pinterest.com/ndtvgoodtimes,,https://instagram.com/swirlster_official,,,https://youtube.com/user/ndtvprime,,N/A - Support - noemail; N/A - Other - noemail; N/A - Director - noemail; N/A - President - noemail; N/A - Founder - noemail,New Delhi,DL,,IN,23-07-2014,19-06-2022,05-01-2009,19-06-2022,-,-
newarena.com,newarena.com,$250,,New Arena,Sports,74,747526,534757,63318,ph:,admin@newarena.com,https://twitter.com/thenewarena,https://facebook.com/thenewarena,,,,,,,,,,N/A - Consultant - noemail; N/A - Manager - noemail; N/A - Founder - noemail,Calabasas,CA,91302,US,26-09-2016,14-06-2022,20-06-2015,14-06-2022,-,California CCPA
news.com.au,news.com.au,$10000,,NEWS PTY Limited,Business And Industrial,2145,449,476,8641,ph:+61-28-1148600;+61-4-19760793;+61-29-2883000;+61-300-696397,privacy@news.com.au,https://twitter.com/newscomauhq,https://facebook.com/news.com.au,,,,,https://instagram.com/newscomauhq,,,https://youtube.com/user/foxsportsau,,N/A - Support - n/a@news.com.au; N/A - Engineering - n/a@news.com.au; N/A - Director - n/a@news.com.au; N/A - Board - n/a@news.com.au; N/A - Manager - n/a@news.com.au,Sydney Domestic Airport,NSW,2020,AU,12-06-2019,17-06-2022,17-10-2000,18-06-2022,-,-
nj.com,nj.com,$10000,,New Jersey On Line LLC,Technology And Computing,823,6301,985,30706,ph:+1-201-468-5101;+1-856-384-8729;+1-609-989-5739;+1-908-782-6572;+1-800-300-9321,digitalservice@nj.com,https://twitter.com/njdotcom,https://facebook.com/nj.com,https://linkedin.com/company/nj.com,,https://pinterest.com/njdotcom,,https://instagram.com/njdotcom,,,,,N/A - Founder - n/a@nj.com,Iselin,NJ,,US,20-03-2016,18-06-2022,28-02-2000,18-06-2022,-,-
nola.com,nola.com,$10000,,NOLA Media Group,Sports,1749,493,1692,75265,ph:+1-504-826-3551;+1-800-933-9771;+1-504-826-3000;+1-800-925-0000;+1-800-778-7879;+1-504-636-7400;+1-866-698-0200;+1-504-529-0522,rrosetta@nola.com;jwalker@nola.com;cbrasted@nola.com;lmcgaughy@nola.com;ttroncale@nola.com;kmorris@nola.com;bmyers@nola.com;dgladow@nola.com;tharris@nola.com;drogers@nola.com;jboudwin@nola.com;jevans@nola.com;kbachman@nola.com;sstrachan@nola.com;socialscene@nola.com;hnolan@nola.com;gscheet@nola.com;amorale@nola.com;jroach@nola.com;jsmith@nola.com;kchatelain@nola.com;andrew_lopez@nola.com;dmaccash@nola.com;joshua_katzenstein@nola.com,https://twitter.com/nolanews,https://facebook.com/nolanews,https://linkedin.com/company/nola.com,,https://pinterest.com/findnsave,,https://instagram.com/nolanews,,,https://youtube.com/user/noladotcom,,N/A - Other - n/a@nola.com; N/A - Sales - n/a@nola.com; N/A - President - n/a@nola.com,New Orleans,LA,70130,US,20-03-2016,05-06-2022,25-02-2000,18-06-2022,-,-
omaha.com,omaha.com,$5000,$2767666,Omaha World-Herald,Sports,2248,9199,3237,64394,ph:+1-402-346-3363;+1-800-234-6942;+1-402-444-1061;+1-800-952-2920;+1-402-444-1544;+1-804-819-7498;+1-402-444-3130;+1-804-644-4181;+1-800-468-3382;+1-402-592-2200,webmaster@omaha.com;postmail-us.4481@omaha.com;mbassett@omaha.com;jasong@omaha.com;samira.fulton@omaha.com;sbunjer@omaha.com;nospamjcollicott@omaha.com;autoshow@omaha.com;postmail-item.32056@omaha.com;bolson.uba@omaha.com,https://twitter.com/omahabridalmag,https://facebook.com/momahacom,,,https://pinterest.com/omahabridalmag,,https://instagram.com/omahaworldherald,,,,,N/A - Consultant - n/a@omaha.com; N/A - Other - n/a@omaha.com; N/A - Director - n/a@omaha.com; N/A - Board - n/a@omaha.com; N/A - Manager - n/a@omaha.com; N/A - President - n/a@omaha.com; N/A - Csuite - n/a@omaha.com,Council Bluffs,IA,51503,US,20-12-2018,16-06-2022,08-11-2000,19-06-2022,-,-
orbitz.com,orbitz.com,$5000,,Orbitz LLC,Travel,705,10782,6789,14037,ph:+1-415-520-3420;+1-312-416-0018;+1-702-486-7371;+1-404-728-8787;+1-800-397-3342;+1-844-846-1612,privacy@orbitz.com;copyright@orbitz.com,https://twitter.com/orbitz,https://facebook.com/orbitz,https://linkedin.com/company/orbitz-worldwide,,https://pinterest.com/orbitz,,https://instagram.com/orbitz,,,https://youtube.com/user/orbitztravel,,N/A - Unknown - n/a@orbitz.com; N/A - Csuite - n/a@orbitz.com,Chicago,IL,60661,US,09-11-2016,28-01-2022,30-09-2005,19-06-2022,-,California CCPA
oregonlive.com,oregonlive.com,$10000,,Oregon Live LLC,Business And Industrial,1386,752,1036,5598,ph:+1-212-743-6590;+1-503-221-8240;+1-800-778-7879;+1-503-294-4026;+1-503-782-5730;+1-503-221-8227;+1-503-294-4072;+1-503-294-5914;+1-503-294-7606,comments@oregonlive.com,https://twitter.com/oregonian,https://facebook.com/findnsave,https://linkedin.com/company/the-oregonian,,https://pinterest.com/findnsave,,https://instagram.com/theoregonian,,,https://youtube.com/user/oregoniannews,,N/A - Account - n/a@oregonlive.com; N/A - Director - n/a@oregonlive.com; N/A - Manager - n/a@oregonlive.com; N/A - President - n/a@oregonlive.com,New York City,NY,10007,US,20-03-2016,19-06-2022,28-02-2000,19-06-2022,-,-
orlandosentinel.com,orlandosentinel.com,$10000,,Orlando Sentinel,Technology And Computing,2337,8250,1529,54090,ph:+1-407-420-5471;+1-407-270-0599;+1-866-734-5982;+1-407-420-5000;+1-866-622-7721;+1-844-681-6006;+1-800-669-5757,kpoggio@orlandosentinel.com;dharris@orlandosentinel.com;ecooper@orlandosentinel.com;dlombardo@orlandosentinel.com;rsimmons@orlandosentinel.com;caarmstrong@orlandosentinel.com;lcianci@orlandosentinel.com;jcutter@orlandosentinel.com;ilimon@orlandosentinel.com;mskoneki@orlandosentinel.com;tstewart@orlandosentinel.com;mlafferty@orlandosentinel.com;limon@orlandosentinel.com;dkarabag@orlandosentinel.com;customerservice@orlandosentinel.com;insight@orlandosentinel.com;pdnewsletters@orlandosentinel.com;classified@orlandosentinel.com;corrections@orlandosentinel.com;krice@orlandosentinel.com;classified_ad@orlandosentinel.com;classified_legal@orlandosentinel.com,https://twitter.com/orlandosentinel,https://facebook.com/orlandosentinel,,,,,https://instagram.com/orlandosentinel,,,,,N/A - Marketing - n/a@orlandosentinel.com; N/A - Director - n/a@orlandosentinel.com; N/A - President - n/a@orlandosentinel.com,Arlington Heights,IL,60005,US,27-06-2016,19-06-2022,08-10-2000,19-06-2022,-,-
tasteofhome.com,tasteofhome.com,$5000,,Taste of Home,Food And Drink,791,300875,3721,12248,ph:+1-414-423-0100;+1-800-344-6913;+1-877-495-4185;+1-800-880-3012;+1-914-831-1279,customercare@tasteofhome.com;customerservice@shoptasteofhome.com;editors@tasteofhome.com;privacy@tasteofhome.com;comfortfooddiet@tasteofhome.com;simple@tasteofhome.com;termsandconditions@tasteofhome.com;dearjane@tasteofhome.com;healthyrecipes@tasteofhome.com;recipes@tasteofhome.com;askthetk@tasteofhome.com;digitalsupport@tasteofhome.com;fieldeditors@tasteofhome.com,https://twitter.com/tasteofhome,https://facebook.com/tasteofhome,,,https://pinterest.com/taste_of_home,,https://instagram.com/tasteofhome,,,https://youtube.com/user/tasteofhome,,,Harlan,IA,51593,US,27-06-2016,18-06-2022,01-03-2000,18-06-2022,-,-
techcrunch.com,techcrunch.com,$5000,,TechCrunch,Technology And Computing,798,75,125,7333,ph:+1-800-605-3561;+1-646-755-8849;+1-650-323-1910,advertise@techcrunch.com;webmaster@techcrunch.com;events@techcrunch.com,https://twitter.com/techcrunch,https://facebook.com/techcrunch,https://linkedin.com/company/techcrunch,,https://pinterest.com/techcrunch,,https://instagram.com/techcrunch,,,https://youtube.com/user/techcrunch,,N/A - Other - n/a@techcrunch.com; N/A - Sales - n/a@techcrunch.com; N/A - Director - n/a@techcrunch.com; N/A - Manager - n/a@techcrunch.com; N/A - President - n/a@techcrunch.com; N/A - Csuite - n/a@techcrunch.com; N/A - Founder - n/a@techcrunch.com,San Francisco,CA,94107,US,20-03-2016,08-06-2022,13-06-2005,19-06-2022,-,California CCPA
techradar.com,techradar.com,$2000,,TechRadar,Technology And Computing,2628,233,593,7334,ph:+44-30-01232220,news@techradar.com;team@techradar.com,,https://facebook.com/techradar,,,,,,,,https://youtube.com/user/techradar,,N/A - Bizdev - noemail; N/A - Unknown - noemail; N/A - Director - noemail; N/A - Founder - noemail,New York City,NY,10005,US,16-07-2014,19-06-2022,10-01-2008,19-06-2022,-,-
